lon1,lat1,dist1,lon2,lat2,dist2,speed
20.974083,52.277203,Żoliborz,20.976187,52.278278,Żoliborz,47.95414719816877
20.993774,52.261166,Żoliborz,20.992994,52.261879,Żoliborz,11.44957012725031
20.968554,52.272114,Żoliborz,20.968561,52.272102,Żoliborz,0.510046915106676
20.970123833,52.271906667,Żoliborz,20.970201,52.271949,Żoliborz,1.6924081236566368
21.0031434,52.26592,Żoliborz,21.0041,52.26439,Żoliborz,54.647338466344266
20.981161,52.267616,Żoliborz,20.977118,52.266563,Żoliborz,35.880269369616485
20.959572,52.267876,Żoliborz,20.959043,52.268066,Żoliborz,10.017403196619206
20.978525,52.266739,Żoliborz,20.978525,52.266739,Żoliborz,0.0
20.976988,52.279083,Żoliborz,20.976658,52.278931,Żoliborz,10.11642871171008
20.9716336,52.2644648,Żoliborz,20.9718446,52.264409,Żoliborz,5.63127885996488
20.9941026,52.2594771,Żoliborz,20.9940976,52.2594841,Żoliborz,0.2780197614777871
20.9868883,52.2693483,Żoliborz,20.98637,52.2694483,Żoliborz,8.320378540693866
20.9788108,52.262174,Żoliborz,20.9788246,52.2621883,Żoliborz,0.6043871731684993
20.9681098,52.2719868,Żoliborz,20.9681068,52.2719906,Żoliborz,0.16893466664922055
20.9682515,52.2696013,Żoliborz,20.9682468,52.2695988,Żoliborz,0.10169813361006577
20.983536,52.276436,Żoliborz,20.983532,52.276443,Żoliborz,0.21203158414424908
20.968254,52.271877,Żoliborz,20.96826,52.27187,Żoliborz,0.21094353646548833
20.983288,52.268242,Żoliborz,20.982151,52.267941,Żoliborz,18.967340669341848
20.984617,52.277092,Żoliborz,20.982922,52.276047,Żoliborz,36.83447094200371
20.986057,52.282986,Żoliborz,20.9879,52.283833,Żoliborz,47.04124728963488
20.958817,52.260067,Żoliborz,20.961004,52.259171,Żoliborz,42.987620699391805
20.9686,52.2564,Żoliborz,20.9676,52.2567,Żoliborz,24.807374811717334
20.9897,52.285,Żoliborz,20.9878,52.2841,Żoliborz,42.03223554642227
20.987852,52.267277,Żoliborz,20.987453,52.267746,Żoliborz,21.166236688870256
20.98951,52.265453,Żoliborz,20.988974,52.266037,Żoliborz,24.37552287418576
20.9650819,52.2729051,Żoliborz,20.964798,52.273762,Żoliborz,31.817848887464663
20.9675962,52.2716972,Żoliborz,20.9676104,52.2716965,Żoliborz,0.2907986361216168
20.9763403,52.2709533,Żoliborz,20.977768,52.2706641,Żoliborz,24.55916965634325
20.962004,52.258785,Żoliborz,20.962709,52.258545,Żoliborz,19.766037562494525
